Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2016-395519,6/3/2016,6/10/2016,Second Class,C31917,David Wilson,Home Office,United States,New York,California,45735,East,FUR-BO-992637,Furniture,Bookcases,Bookcases - Model 120,15.03,5,0,7.1
2,CA-2019-911960,11/17/2016,11/23/2016,Same Day,C13867,John Smith,Consumer,United States,Chicago,Texas,52560,South,OFF-ST-407403,Office Supplies,Storage,Storage - Model 220,724.33,3,0.2,14.53
3,CA-2019-297254,5/22/2016,5/24/2016,Same Day,C95003,Emily Davis,Home Office,United States,Houston,Illinois,21866,East,OFF-PA-523789,Office Supplies,Paper,Paper - Model 757,347.37,8,0.1,-19
4,US-2018-240881,11/2/2017,11/8/2017,Standard Class,C65512,Sarah Johnson,Corporate,United States,Miami,Florida,59843,South,FUR-BO-287375,Furniture,Bookcases,Bookcases - Model 574,706.84,5,0.1,-75.26
5,US-2016-189150,5/17/2019,5/22/2019,First Class,C40842,Sarah Johnson,Home Office,United States,Houston,Illinois,90422,East,OFF-BI-784937,Office Supplies,Binders,Binders - Model 652,893.18,9,0,333.49
6,CA-2017-226199,11/26/2019,11/27/2019,First Class,C91800,John Smith,Corporate,United States,New York,California,22122,West,TEC-CO-973100,Technology,Copiers,Copiers - Model 637,715.21,4,0.4,-210.88
7,US-2016-859387,2/2/2017,2/9/2017,Second Class,C11034,Sarah Johnson,Consumer,United States,Chicago,Illinois,92150,South,OFF-BI-403047,Office Supplies,Binders,Binders - Model 705,22.38,2,0.2,-3.57
8,CA-2018-407388,11/9/2018,11/12/2018,Same Day,C48972,Sarah Johnson,Home Office,United States,Houston,Texas,64344,South,FUR-FU-964639,Furniture,Furnishings,Furnishings - Model 302,49.92,8,0.3,-2.48
9,CA-2017-137866,3/3/2016,3/5/2016,Second Class,C10068,David Wilson,Consumer,United States,Chicago,New York,10264,West,FUR-TA-604219,Furniture,Tables,Tables - Model 895,683.81,7,0.5,-12.85
10,CA-2018-799416,11/21/2018,11/26/2018,Same Day,C90171,Sarah Johnson,Corporate,United States,Chicago,Texas,46770,Central,FUR-TA-191093,Furniture,Tables,Tables - Model 978,682.52,5,0.4,-204.74
11,US-2017-434740,2/13/2016,2/17/2016,Same Day,C32086,David Wilson,Consumer,United States,Los Angeles,New York,46581,South,FUR-FU-508676,Furniture,Furnishings,Furnishings - Model 144,624.99,9,0.5,-56.55
12,CA-2019-175880,6/17/2019,6/20/2019,First Class,C31500,Emily Davis,Corporate,United States,Los Angeles,New York,30626,South,OFF-BI-210566,Office Supplies,Binders,Binders - Model 965,407.48,3,0.3,90.31
13,CA-2016-468885,1/25/2018,1/27/2018,Second Class,C74522,Emily Davis,Consumer,United States,Miami,New York,89410,West,FUR-FU-390075,Furniture,Furnishings,Furnishings - Model 586,758.98,6,0.2,-218.41
14,CA-2016-319346,4/12/2019,4/18/2019,First Class,C18926,David Wilson,Home Office,United States,New York,California,91989,South,TEC-CO-779768,Technology,Copiers,Copiers - Model 294,926.65,10,0.4,217.42
15,US-2019-177646,3/12/2018,3/13/2018,Same Day,C93988,Sarah Johnson,Home Office,United States,Los Angeles,Texas,25728,Central,FUR-CH-254999,Furniture,Chairs,Chairs - Model 329,200.96,5,0,2.78
16,CA-2017-350561,5/25/2018,5/27/2018,First Class,C88061,Emily Davis,Corporate,United States,Miami,California,95353,South,OFF-AP-469176,Office Supplies,Appliances,Appliances - Model 256,64.84,8,0.2,3.05
17,US-2019-246111,5/2/2018,5/9/2018,First Class,C60258,John Smith,Corporate,United States,Miami,New York,55576,East,TEC-MA-974099,Technology,Machines,Machines - Model 429,147.01,4,0.3,15.67
18,CA-2019-567623,6/6/2019,6/12/2019,First Class,C51218,Emily Davis,Home Office,United States,Chicago,Illinois,67861,West,FUR-FU-541874,Furniture,Furnishings,Furnishings - Model 345,149,6,0.3,59.64
